"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"06.09.2024","849,000","860,000","860,000","849,000","291,85K","-1,16%"
"05.09.2024","859,000","897,000","900,000","855,000","1,34M","-3,91%"
"04.09.2024","894,000","905,000","906,000","883,000","777,04K","-0,89%"
"03.09.2024","902,000","914,000","914,000","887,000","1,09M","-1,20%"
"02.09.2024","913,000","911,000","915,000","899,000","942,96K","-0,22%"
"30.08.2024","915,000","930,000","930,000","885,000","1,89M","0,88%"
"29.08.2024","907,000","914,000","929,000","902,000","1,25M","0,44%"
"28.08.2024","903,000","885,000","906,000","883,000","1,14M","2,03%"
"27.08.2024","885,000","895,000","895,000","875,000","1,12M","-0,56%"
"26.08.2024","890,000","915,000","915,000","882,000","1,18M","-1,98%"
"23.08.2024","908,000","920,000","920,000","897,000","951,32K","-0,55%"
"22.08.2024","913,000","890,000","928,000","881,000","2,43M","3,05%"
"21.08.2024","886,000","915,000","916,000","885,000","1,26M","-3,06%"
"20.08.2024","914,000","920,000","927,000","904,000","549,54K","-0,65%"
"19.08.2024","920,000","929,000","936,000","906,000","938,70K","-1,08%"
"16.08.2024","930,000","931,000","943,000","922,000","964,44K","-0,32%"
"15.08.2024","933,000","940,000","945,000","913,000","1,38M","-0,11%"
"14.08.2024","934,000","932,000","955,000","922,000","587,12K","0,11%"
"13.08.2024","933,000","920,000","935,000","915,000","875,27K","0,54%"
"12.08.2024","928,000","978,000","978,000","915,000","736,22K","-2,52%"
"09.08.2024","952,000","927,000","953,000","906,000","1,33M","4,50%"
"08.08.2024","911,000","880,000","915,000","880,000","754,30K","3,52%"
"07.08.2024","880,000","910,000","919,000","878,000","767,87K","-2,44%"
"06.08.2024","902,000","920,000","940,000","902,000","556,45K","-1,42%"
"05.08.2024","915,000","900,000","944,000","875,000","925,44K","-5,28%"
"02.08.2024","966,000","952,000","969,000","930,000","356,90K","-2,52%"
"01.08.2024","991,000","981,000","994,000","956,000","843,45K","3,55%"
"31.07.2024","957,000","910,000","957,000","910,000","502,85K","5,75%"
"30.07.2024","905,000","941,000","949,000","902,000","362,02K","-4,64%"
"29.07.2024","949,000","965,000","997,000","925,000","329,94K","-3,46%"
"26.07.2024","983,000","999,000","1.040,000","950,000","244,40K","-0,71%"
"25.07.2024","990,000","1.040,000","1.040,000","990,000","619,28K","-5,26%"
"24.07.2024","1.045,000","1.075,000","1.080,000","1.020,000","693,81K","-3,24%"
"23.07.2024","1.080,000","1.055,000","1.090,000","1.045,000","977,81K","1,89%"
"22.07.2024","1.060,000","1.070,000","1.070,000","1.020,000","560,24K","0,95%"
"19.07.2024","1.050,000","1.065,000","1.080,000","1.040,000","671,76K","-1,41%"
"18.07.2024","1.065,000","1.050,000","1.075,000","1.015,000","1,10M","2,90%"
"17.07.2024","1.035,000","985,000","1.045,000","950,000","801,14K","7,48%"
"16.07.2024","963,000","930,000","965,000","890,000","1,36M","2,99%"
"15.07.2024","935,000","1.045,000","1.045,000","922,000","783,55K","-12,21%"
"12.07.2024","1.065,000","1.055,000","1.080,000","1.025,000","593,65K","0,95%"
"11.07.2024","1.055,000","1.060,000","1.070,000","1.020,000","634,90K","0,00%"
"10.07.2024","1.055,000","1.040,000","1.060,000","1.020,000","436,65K","1,15%"
"08.07.2024","1.043,000","1.049,000","1.057,000","1.025,000","457,54K","-0,05%"
"05.07.2024","1.043,500","1.006,000","1.045,000","1.001,500","589,19K","3,83%"
"04.07.2024","1.005,000","1.010,000","1.018,000","981,000","284,12K","-0,50%"
"03.07.2024","1.010,000","1.068,500","1.080,000","997,000","1,06M","-5,47%"
"02.07.2024","1.068,500","1.015,000","1.075,000","1.014,000","1,84M","5,17%"
"01.07.2024","1.016,000","984,000","1.016,000","960,000","930,75K","2,83%"
"28.06.2024","988,000","977,000","990,000","942,000","1,20M","1,02%"
"27.06.2024","978,000","911,000","980,000","908,000","1,71M","7,95%"
"26.06.2024","906,000","886,000","909,000","872,500","1,01M","2,32%"
"25.06.2024","885,500","877,000","890,000","870,000","984,90K","0,40%"
"24.06.2024","882,000","855,500","888,000","855,500","892,10K","1,15%"
"19.06.2024","872,000","858,000","877,000","851,000","548,03K","1,99%"
"18.06.2024","855,000","890,000","905,000","847,000","1,26M","-4,15%"
